,,,,,,,,atoms in the molecule,,,,,,,,,,,hydroxyl,aldehyde,ketone,carboxylic acid,ester,ether,nitro,nitrate,peroxyacyl nitrate ,peracid,peroxide,,ABSOLV predicted solute descriptors,,,,,,predicted partitioning coefficients,,,,,,,,
ID,MCM_ID,SMILES,structure,MF,MW,PRECURSOR,oxidation genration,C,H,N,O,Cl,S,Br,Number of Atoms,O:C,average carbon oxidation state,AROMATIC,ROH,RCHO,RCOR',RCOOH,RCOOR',ROR',NO2,NO3,PAN,RCOOOH,ROOH& ROOR',Number of functional groups,Pi2 (S),LogL16 (L),McGowan Volume (V),BetaH2 (B),AlphaH2 (A),R2 (E),ppLFER_logKWIOM/G,ppLFER_logKW/G,SPARC_logKWIOM/G,SPARC_logKW/G,COSMOtherm_logKWIOM/G,COSMOtherm_logKW/G,COSMOtherm vapor pressure (kPa),COSMOtherm activity coefficients in WIOM,COSMOtherm activity coefficient in water
2098,MIBKHO14,CC(C)(CC(=O)CO)O,,C6H12O3,132.16,UNKNOWN,N/A,6,12,0,3,0,0,0,21,0.5,-1,0,2,0,1,0,0,0,0,0,0,0,0,3,0.94,4.15,1.09,0.93,0.48,0.52,6,7.37,7.51,9.29,6.56,6.75,1.29E-03,2.36,1.87E+01
2099,LIMANO3,C=C(C)C1CCC(C)(C(C1)O)ON(=O)=O,,C10H17NO4,215.25,LIMONENE,1,10,17,1,4,0,0,0,32,0.4,-1.4,0,1,0,0,0,0,0,0,1,0,0,0,2,0.98,6.87,1.66,0.69,0.23,0.74,7.3,5.19,8.62,5.64,7.6,3.83,2.29E-04,1.19,8.53E+04
2100,C827CO3H,CC(=O)CCC(=O)C(C)(C)C(=O)OO,,C9H14O5,202.2,BCARY,3,9,14,0,5,0,0,0,28,0.56,-0.44,0,0,0,2,0,0,0,0,0,0,1,0,3,1.79,6.75,1.54,1.3,0.31,0.67,8.7,10.45,8.78,9.16,7.87,5.53,1.39E-04,1.05,2.81E+03
2101,HO2C3CO2H,CC(CC(=O)O)O,,C4H8O3,104.1,UNKNOWN,N/A,4,8,0,3,0,0,0,15,0.75,-0.5,0,1,0,0,1,0,0,0,0,0,0,0,2,0.88,3.57,0.81,0.67,0.88,0.38,6.4,7.86,6.7,8.22,6.76,8.2,2.27E-04,8.39,3.71E+00
2102,MXYLAL,Cc1cccc(c1)C=O,,C8H8O,120.15,MXYL,1,8,8,0,1,0,0,0,17,0.13,-0.75,1,0,1,0,0,0,0,0,0,0,0,0,1,1.13,4.74,1.01,0.4,0,0.84,4.8,3.65,5.4,3.44,5.53,3.61,3.60E-02,0.89,9.01E+02
2103,PBFUOOH,CCCC1C(C(C(=O)O1)OO)O,,C7H12O5,176.17,PBENZ,2,7,12,0,5,0,0,0,24,0.71,-0.29,0,1,0,0,0,1,0,0,0,0,0,1,3,1.97,6.69,1.24,1.46,0.5,0.88,9.3,13.1,9.93,11.17,9.88,9.18,1.62E-06,0.89,5.45E+01
2104,C6MOCOCO3H,CC(=CC(=O)OO)C(=O)C(C(=O)C)O,,C8H10O6,202.16,PXYL,3,8,10,0,6,0,0,0,24,0.75,0.25,0,1,0,2,0,0,0,0,0,0,1,0,4,1.82,6.22,1.42,1.64,0.41,0.92,8.8,12.7,11.11,12.61,7.92,4.99,2.06E-04,0.64,6.70E+03
2105,C58OH,CC(CO)(C(C=O)O)O,,C5H10O4,134.13,C5H8,2,5,10,0,4,0,0,0,19,0.8,-0.4,0,3,1,0,0,0,0,0,0,0,0,0,4,1.24,4.41,1,1.22,0.67,0.75,7.1,10.52,8.53,11.52,6.46,6.84,9.94E-04,3.81,1.95E+01
2106,IC5H12,CCC(C)C,,C5H12,72.15,UNKNOWN,N/A,5,12,0,0,0,0,0,17,0,-2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,2.12,0.81,0.07,0,0.01,1.7,-0.76,1.3,-1.84,1.58,-1.32,9.68E+01,2.97,2.87E+04
2107,BCLKBOOH,CC1(C)CC(C1CCC(=O)COO)C(=O)CCC=O,,C14H22O5,270.32,BCARY,3,14,22,0,5,0,0,0,41,0.36,-0.86,0,0,1,2,0,0,0,0,0,0,0,1,4,2.17,9.88,2.14,1.52,0.31,1.1,11.8,12.42,11.97,11.04,11.88,9.55,1.23E-08,1.18,3.11E+03
2108,DNT124BOL,Cc1c(C)c(c(C)c(c1N(=O)=O)N(=O)=O)O,,C9H10N2O5,226.19,TM124B,3,9,10,2,5,0,0,0,26,0.56,-1.11,1,1,0,0,0,0,0,2,0,0,0,0,3,1.87,8.15,1.55,0.58,0.67,1.4,10.5,8.98,11.43,7.54,10.64,6.97,1.59E-06,0.16,9.07E+03
2109,BOXPROBOOH,CCCCOC(C(=O)C)OO,,C7H14O4,162.18,BOX2PROL,2,7,14,0,4,0,0,0,25,0.57,-0.86,0,0,0,1,0,0,1,0,0,0,0,1,3,1.25,5.4,1.29,1.08,0.31,0.5,6.9,8.23,6.38,5.69,7.03,4.94,9.89E-04,1.04,1.55E+03
2110,C152OH,CC1(C)CC(C1CCC(=O)OC)C(CCC=O)(CO)O,,C15H26O5,286.36,BCARY,2,15,26,0,5,0,0,0,46,0.33,-1.07,0,2,1,0,0,1,0,0,0,0,0,0,4,1.64,9.64,2.32,1.34,0.54,0.88,11.7,10.75,11.81,11.4,11.63,9.6,1.86E-08,1.39,1.82E+03
2111,IPROMC2OH,CC(C)OC(C)CO,,C6H14O2,118.17,DIIPRETHER,1,6,14,0,2,0,0,0,22,0.33,-1.67,0,1,0,0,0,0,1,0,0,0,0,0,2,0.53,3.81,1.07,0.68,0.23,0.3,4.3,4.19,4.63,4.5,4.82,4,1.02E-01,1.63,1.29E+02
2112,C810OH,CC(C)(C(CC=O)CC=O)O,,C8H14O3,158.19,UNKNOWN,N/A,8,14,0,3,0,0,0,25,0.38,-1,0,1,2,0,0,0,0,0,0,0,0,0,3,1.49,5.79,1.33,0.96,0.31,0.66,7.4,8.17,7.5,8.6,7.47,7.73,1.78E-04,2.07,1.40E+01
2113,M22C4OH,CC(C)(C)CCO,,C6H14O,102.17,M22C4,1,6,14,0,1,0,0,0,21,0.17,-2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4,3.24,1.01,0.35,0.31,0.19,3.9,2.39,4.57,3.13,4.4,3.57,9.30E-02,4.7,3.83E+02
2114,C6DIALOOH,C(CC(CC=O)OO)C=O,,C6H10O4,146.14,UNKNOWN,N/A,6,10,0,4,0,0,0,20,0.67,-0.33,0,0,2,0,0,0,0,0,0,0,0,1,3,1.7,5.51,1.1,1.13,0.31,0.72,7.4,9.88,7.6,9.55,7.63,8.11,8.06E-05,3.15,1.30E+01
2115,C6CO34HO1,CCC(=O)C(=O)CCO,,C6H10O3,130.14,UNKNOWN,N/A,6,10,0,3,0,0,0,19,0.5,-0.67,0,1,0,2,0,0,0,0,0,0,0,0,3,1.45,4.98,1.04,0.93,0.31,0.63,6.6,8.24,6.57,7.69,5.8,5.35,9.74E-03,1.76,6.15E+01
2116,METLMUCPAN,CCC(=O)C=CC1C(C)(C(=O)OON(=O)=O)O1,,C9H11NO7,245.19,METHTOL,2,9,11,1,7,0,0,0,28,0.78,-0.22,0,0,0,1,0,0,1,0,0,1,0,0,3,1.92,7.44,1.61,1.13,0,0.86,8.4,8.82,9.34,7.66,8.76,4.09,3.10E-05,0.61,3.53E+05
2117,C615CO2OH,CC(=O)C=CC(C=O)O,,C6H8O3,128.13,TOLUENE,2,6,8,0,3,0,0,0,17,0.5,-0.33,0,1,1,1,0,0,0,0,0,0,0,0,3,1.37,4.36,1,1,0.17,0.74,5.7,7.7,7.15,8.43,6.9,6.89,5.42E-04,2.52,3.17E+01
2118,NTM135OLOH,CC1=CC2(C)C(C(C)(C1(O)O)OO2)ON(=O)=O,,C9H13NO7,247.2,TM135B,2,9,13,1,7,0,0,0,30,0.78,-0.44,0,2,0,0,0,0,0,0,1,0,0,1,4,1.55,7.78,1.58,1.44,0.52,1.23,9.8,11.94,9.65,9.42,9.56,6.81,4.54E-06,0.66,4.52E+03
2119,OXYFUOH,CC1(COC(=O)C1(C)O)O,,C6H10O4,146.14,OXYL,2,6,10,0,4,0,0,0,20,0.67,-0.33,0,2,0,0,0,1,0,0,0,0,0,0,3,1.56,4.7,1.04,1.13,0.36,0.66,6.8,9.55,8.92,10.89,7.58,7.61,1.34E-04,2.17,2.45E+01
2120,PBZBPER2OH,CCCC12C=CC(C(C1O)OO2)O,,C9H14O4,186.21,PBENZ,1,9,14,0,4,0,0,0,27,0.44,-0.67,0,2,0,0,0,0,0,0,0,0,0,1,3,1.1,6.72,1.35,1.35,0.46,1.14,8.1,10.43,9.13,9.08,9.91,9.61,4.74E-07,2.83,6.89E+01
2121,C6COALCO3H,C(CC(=O)CC(=O)OO)C=O,,C6H8O5,160.12,UNKNOWN,N/A,6,8,0,5,0,0,0,19,0.83,0.33,0,0,1,1,0,0,0,0,0,0,1,0,3,1.9,5.73,1.12,1.24,0.31,0.71,7.8,10.91,8.59,10.01,7.8,7.19,7.43E-05,2.31,1.16E+02
2122,HM22CO2H,CC(C)(CO)C(=O)O,,C5H10O3,118.13,UNKNOWN,N/A,5,10,0,3,0,0,0,18,0.6,-0.8,0,1,0,0,1,0,0,0,0,0,0,0,2,0.83,3.85,0.95,0.68,0.88,0.36,6.6,7.6,6.36,7.71,6.68,7.63,3.76E-04,6.04,8.36E+00
2123,IC4CHOAOOH,CC(C)C(C=O)OO,,C5H10O3,118.13,IPBENZ,2,5,10,0,3,0,0,0,18,0.6,-0.8,0,0,1,0,0,0,0,0,0,0,0,1,2,1.13,4.06,0.95,0.87,0.31,0.49,5.5,7.09,5.22,4.96,5.35,4.3,5.31E-02,0.92,1.25E+02
2124,C4COMEOH,CCCCC(=O)CO,,C6H12O2,116.16,UNKNOWN,N/A,6,12,0,2,0,0,0,20,0.33,-1.33,0,1,0,1,0,0,0,0,0,0,0,0,2,0.74,3.64,1.03,0.62,0.17,0.34,4.3,4.08,5.32,4.81,5.23,4.28,6.19E-02,1.04,1.14E+02
2125,METLMUCCO,CCC(=O)C(=O)C(C1C(C)(C=O)O1)O,,C9H12O5,200.19,METHTOL,2,9,12,0,5,0,0,0,26,0.56,-0.22,0,1,1,2,0,0,1,0,0,0,0,0,5,1.87,6.87,1.43,1.6,0.09,1.07,8.3,11.65,8.49,9.95,8.39,6.14,3.96E-05,1.13,2.44E+03
2126,M3HEXBOOH,CCCC(C)(CC)OO,,C7H16O2,132.2,M3HEX,1,7,16,0,2,0,0,0,25,0.29,-1.71,0,0,0,0,0,0,0,0,0,0,0,1,1,0.56,4.11,1.21,0.57,0.31,0.22,4.9,3.77,5.27,3.21,5.35,3.43,2.82E-02,1.71,1.75E+03
2127,C59OOH,CC(CO)(C(=O)CO)OO,,C5H10O5,150.13,UNKNOWN,N/A,5,10,0,5,0,0,0,20,1,0,0,2,0,1,0,0,0,0,0,0,0,1,4,1.3,4.97,1.06,1.51,0.71,0.8,7.8,12.42,9.04,11.58,7.59,7.86,6.75E-05,4.2,2.72E+01
2128,HNMVKOH,C(C(C(=O)CON(=O)=O)O)O,,C4H7NO6,165.1,UNKNOWN,N/A,4,7,1,6,0,0,0,18,1.5,0,0,2,0,1,0,0,0,0,1,0,0,0,4,1.55,5.01,1.04,1.05,0.4,0.73,7.1,9.43,9.2,10.21,7.56,6.41,3.07E-04,0.99,1.72E+02
2129,MIBKOHBOOH,CC(=O)CC(C)(COO)O,,C6H12O4,148.16,UNKNOWN,N/A,6,12,0,4,0,0,0,22,0.67,-0.67,0,1,0,1,0,0,0,0,0,0,0,1,3,1.26,5.25,1.15,1.24,0.54,0.68,7.4,10.24,7.44,8.84,7.34,6.89,3.94E-04,1.26,4.34E+01
2130,IC7DCOOH,CC(C)C(=O)C(C(C=O)O)OO,,C7H12O5,176.17,IPBENZ,2,7,12,0,5,0,0,0,24,0.71,-0.29,0,1,1,1,0,0,0,0,0,0,0,1,4,1.61,5.95,1.3,1.58,0.4,0.88,8.2,12.09,8.88,10.14,8.25,7.52,3.71E-05,1.65,1.09E+02
2131,C126CHO,C=C(CCC=O)C1CC(C)(C)C1CC=O,,C13H20O2,208.3,BCARY,1,13,20,0,2,0,0,0,35,0.15,-1.23,0,0,2,0,0,0,0,0,0,0,0,0,2,1.31,7.4,1.82,0.77,0,0.77,7.6,5.22,7.84,5.44,8.41,6.07,5.20E-05,0.82,2.18E+03
2132,HO2CO35C7,CCC(=O)CC(=O)C(C)O,,C7H12O3,144.17,UNKNOWN,N/A,7,12,0,3,0,0,0,22,0.43,-0.86,0,1,0,2,0,0,0,0,0,0,0,0,3,1.22,4.73,1.19,0.96,0.17,0.56,5.9,6.92,6.72,7.44,6.23,5.13,7.37E-03,0.88,1.35E+02
2133,C3M3OH2PAN,CC(C)C(C(=O)OON(=O)=O)O,,C5H9NO6,179.13,UNKNOWN,N/A,5,9,1,6,0,0,0,21,1.2,-0.4,0,1,0,0,0,0,0,0,0,1,0,0,2,1.17,4.53,1.18,0.83,0.17,0.4,5.6,6.06,7.57,7.07,5.16,1.83,1.92E-01,0.39,1.04E+04
2134,MEPROPENE,C=C(C)C,,C4H8,56.11,MEPROPENE,0,4,8,0,0,0,0,0,12,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,1.55,0.63,0.1,0,0.11,1.2,-0.41,1.16,-1.03,1.54,-0.65,2.57E+02,1.23,2.33E+03
2135,LIMBNO3,C=C(C)C1CCC(C)(C(C1)ON(=O)=O)O,,C10H17NO4,215.25,LIMONENE,1,10,17,1,4,0,0,0,32,0.4,-1.4,0,1,0,0,0,0,0,0,1,0,0,0,2,0.98,6.87,1.66,0.69,0.23,0.74,7.3,5.19,8.45,5.74,7.72,4.12,1.58E-04,1.33,6.43E+04
2136,MNNCATCOOH,CC12C(C(C(=C(C1(O)OO)O)N(=O)=O)OO2)ON(=O)=O,,C7H8N2O11,296.15,TOLUENE,3,7,8,2,11,0,0,0,28,1.57,0.57,0,2,0,0,0,0,0,1,1,0,0,2,6,2.52,9.33,1.59,2.12,0.85,1.69,13.3,19.38,14.25,13.12,11.9,8.47,7.32E-07,0.02,6.26E+02
2137,HO13C4OH,C(CO)C(CO)O,,C4H10O3,106.12,UNKNOWN,N/A,4,10,0,3,0,0,0,17,0.75,-1,0,3,0,0,0,0,0,0,0,0,0,0,3,0.98,4.08,0.85,0.89,0.85,0.61,6.8,9.23,7.51,9.66,6.8,8.88,7.03E-05,24.75,2.53E+00
2138,C5CO243OH,CC(=O)C(C(=O)C)O,,C5H8O3,116.12,UNKNOWN,N/A,5,8,0,3,0,0,0,16,0.6,-0.4,0,1,0,2,0,0,0,0,0,0,0,0,3,1.1,3.42,0.9,0.95,0.1,0.52,4.4,6.42,5.74,7.43,5.01,4.37,1.00E-01,1.06,5.71E+01
2139,C615CO2OOH,CC(=O)C=CC(C=O)OO,,C6H8O4,144.13,TOLUENE,2,6,8,0,4,0,0,0,18,0.67,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1.74,5.37,1.06,1.21,0.31,0.85,7.3,10.41,7.69,8.47,7.96,7.75,4.71E-05,2.55,5.08E+01
2140,C628OH,CC(=O)C(CC=O)(CO)O,,C6H10O4,146.14,LIMONENE,2,6,10,0,4,0,0,0,20,0.67,-0.33,0,2,1,1,0,0,0,0,0,0,0,0,4,1.49,4.92,1.1,1.22,0.4,0.75,7.1,9.98,8.19,10.93,6.76,6.94,6.52E-04,2.88,2.37E+01
2141,CO3C4CO3H,CCC(=O)CC(=O)OO,,C5H8O4,132.11,UNKNOWN,N/A,5,8,0,4,0,0,0,17,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1.35,4.4,0.96,0.95,0.31,0.48,6,8.06,6.43,6.78,6.2,4.58,6.96E-03,0.98,5.07E+02
2142,MOXY2CHO,C(=O)COC=O,,C3H4O3,88.06,UNKNOWN,N/A,3,4,0,3,0,0,0,10,1,0.67,0,0,1,0,0,1,0,0,0,0,0,0,2,1.18,2.84,0.62,0.63,0,0.32,3.5,4.95,4.51,5.42,4.55,4.43,1.11E-01,2.85,4.42E+01
2143,NCATECOOH,C1=C(C(C2C(C1(N(=O)=O)OO2)O)(O)OO)O,,C6H7NO9,237.12,UNKNOWN,N/A,6,7,1,9,0,0,0,23,1.5,1,0,3,0,0,0,0,0,1,0,0,0,2,6,2.21,8.21,1.28,2.34,1.15,1.76,12.9,21.29,12.68,13.58,13.37,13.02,1.15E-07,0,1.13E-01
2144,MMALNACO2H,CC(C=O)(C(C(=O)O)O)ON(=O)=O,,C5H7NO7,193.11,C5H8,3,5,7,1,7,0,0,0,20,1.4,0.4,0,1,1,0,1,0,0,0,1,0,0,0,4,1.65,5.73,1.19,1.22,0.66,0.75,8.6,11.47,9.78,11.03,7.52,6.19,1.70E-03,0.2,5.08E+01
2145,BOXPOLANO3,CCCC(OCC(C)O)ON(=O)=O,,C7H15NO5,193.2,BOX2PROL,1,7,15,1,5,0,0,0,28,0.71,-1.43,0,1,0,0,0,0,1,0,1,0,0,0,3,1.1,6,1.45,0.81,0.23,0.48,6.8,6.14,7.6,5.3,6.76,3.58,1.37E-03,1.39,2.57E+04
2146,CONO3C6OOH,CCC(C(C(=O)C)ON(=O)=O)OO,,C6H11NO6,193.15,UNKNOWN,N/A,6,11,1,6,0,0,0,24,1,-0.67,0,0,0,1,0,0,0,0,1,0,0,1,3,1.65,6.12,1.32,1.02,0.31,0.66,7.8,8.97,8.05,8.24,7.16,4.56,1.48E-03,0.51,2.48E+03
2147,PETLMUCNO3,CCC(=O)C(C(C1(C)C(C=O)O1)O)ON(=O)=O,,C9H13NO7,247.2,PETHTOL,2,9,13,1,7,0,0,0,30,0.78,-0.44,0,1,1,1,0,0,1,0,1,0,0,0,5,2.12,8.43,1.65,1.5,0.19,1.15,10,12.26,10.52,11.14,9.25,6.4,7.54E-06,0.81,7.03E+03
2148,CO1M22CHO,CC(C)(C=O)C=O,,C5H8O2,100.12,BPINENE,3,5,8,0,2,0,0,0,15,0.4,-0.8,0,0,2,0,0,0,0,0,0,0,0,0,2,1.22,3.58,0.84,0.65,0,0.45,4.2,4.95,3.83,4.33,3.91,2.91,1.49E+00,0.89,1.11E+02
2149,OCT3ONE,CCCCCC(=O)CC,,C8H16O,128.21,UNKNOWN,N/A,8,16,0,1,0,0,0,25,0.13,-1.75,0,0,0,1,0,0,0,0,0,0,0,0,1,0.69,4.42,1.25,0.35,0,0.21,4.3,1.77,4.33,2,4.93,2.5,1.19E-01,1.07,3.56E+03
2150,C915NO3,CC1(C)C(C=O)C(=O)CCC1ON(=O)=O,,C9H13NO5,215.2,BPINENE,2,9,13,1,5,0,0,0,28,0.56,-0.89,0,0,1,1,0,0,0,0,1,0,0,0,3,1.8,7.18,1.53,0.84,0,0.84,7.9,7.15,8.85,7.89,7.9,5.13,1.35E-04,1.02,7.37E+03
2151,C61CPAN,CCCC(=O)C(=O)C(C(=O)OON(=O)=O)O,,C7H9NO8,235.15,UNKNOWN,N/A,7,9,1,8,0,0,0,25,1.14,0.29,0,1,0,2,0,0,0,0,0,1,0,0,4,2.07,6.72,1.49,1.41,0.1,0.77,8.5,10.87,9.94,10.47,7.25,2.45,2.93E-03,0.21,1.63E+05
2152,IPGLYOXOH,CC(C)C(=O)C(=O)O,,C5H8O3,116.12,IPBENZ,2,5,8,0,3,0,0,0,16,0.6,-0.4,0,0,0,1,1,0,0,0,0,0,0,0,2,1.1,3.93,0.9,0.7,0.57,0.39,6.1,7.19,5.66,4.62,5.09,4.11,1.44E-01,0.61,7.21E+01
2153,HO2C5NO3,CC(CCCON(=O)=O)O,,C5H11NO4,149.15,UNKNOWN,N/A,5,11,1,4,0,0,0,21,0.8,-1.6,0,1,0,0,0,0,0,0,1,0,0,0,2,1.01,4.66,1.1,0.47,0.31,0.4,5.7,4.69,7.29,6.02,6.16,4.19,4.50E-03,1.69,1.90E+03
2154,C63NO32OOH,CCCC(C(C)OO)ON(=O)=O,,C6H13NO5,179.17,UNKNOWN,N/A,6,13,1,5,0,0,0,25,0.83,-1.33,0,0,0,0,0,0,0,0,1,0,0,1,2,1.15,5.41,1.3,0.72,0.31,0.45,6.6,6.13,7.26,5.65,5.96,2.61,1.57E-02,0.76,2.07E+04
2155,C3MDIALOH,CC(C=O)(C=O)O,,C4H6O3,102.09,UNKNOWN,N/A,4,6,0,3,0,0,0,13,0.75,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1.16,2.98,0.76,0.92,0.1,0.54,4.1,6.51,5.1,6.69,4.33,3.69,4.35E-01,1.18,6.34E+01
2156,METHACET,CC(=O)OC,,C3H6O2,74.08,MTBE,2,3,6,0,2,0,0,0,11,0.67,-0.67,0,0,0,0,0,1,0,0,0,0,0,0,1,0.57,1.86,0.61,0.36,0,0.07,2,1.91,2.79,2.47,3.15,2.77,1.24E+01,0.64,1.83E+01
2157,C624OOH,C=C(C)C(CCO)OO,,C6H12O3,132.16,LIMONENE,2,6,12,0,3,0,0,0,21,0.5,-1,0,1,0,0,0,0,0,0,0,0,0,1,2,0.88,4.48,1.09,0.9,0.63,0.55,6.5,7.84,7.13,6.48,7.25,7.28,1.77E-04,3.51,3.93E+01
2158,HM33C4NO3,CC(C)(CCO)CON(=O)=O,,C6H13NO4,163.17,M22C4,1,6,13,1,4,0,0,0,24,0.67,-1.67,0,1,0,0,0,0,0,0,1,0,0,0,2,0.97,4.93,1.25,0.48,0.31,0.37,5.9,4.45,7.57,5.88,6.2,4.07,3.79E-03,1.83,2.97E+03
2159,C919NO3,CC(C)(C(CC=O)C(=O)CC=O)ON(=O)=O,,C9H13NO6,231.2,BPINENE,2,9,13,1,6,0,0,0,29,0.67,-0.67,0,0,2,1,0,0,0,0,1,0,0,0,4,2.28,7.85,1.66,1.12,0,0.85,9.2,9.56,9.38,9.4,8.86,6.28,1.17E-05,1.29,5.96E+03
2160,EBNZOHNO2,CCc1cccc(c1O)N(=O)=O,,C8H9NO3,167.16,EBENZ,2,8,9,1,3,0,0,0,21,0.38,-1,1,1,0,0,0,0,0,1,0,0,0,0,2,1.18,5.74,1.23,0.36,0.11,0.98,6,3.92,7.27,4.49,6.04,2.24,1.02E-02,0.98,7.44E+04
2161,HO6C7OOH,CCCCCC(COO)O,,C7H16O3,148.2,NC10H22,2,7,16,0,3,0,0,0,26,0.43,-1.43,0,1,0,0,0,0,0,0,0,0,0,1,2,0.82,5.26,1.27,0.93,0.54,0.49,6.8,7.47,7.44,6.15,7.61,6.42,7.54E-05,3.54,6.76E+02
2162,IC7DCOH,CC(C)C(=O)C(C(C=O)O)O,,C7H12O4,160.17,IPBENZ,2,7,12,0,4,0,0,0,23,0.57,-0.57,0,2,1,1,0,0,0,0,0,0,0,0,4,1.29,4.77,1.24,1.27,0.26,0.72,6.4,8.88,8.09,9.56,6.48,5.24,2.72E-03,1.34,2.86E+02
2163,C926OH,CC(=O)CCC(CC=O)(C(=O)C)O,,C9H14O4,186.21,LIMONENE,2,9,14,0,4,0,0,0,27,0.44,-0.67,0,1,1,2,0,0,0,0,0,0,0,0,4,1.72,6.34,1.48,1.26,0.17,0.76,7.9,9.51,8.9,10.24,8.7,8.47,1.50E-05,1.45,3.05E+01
2164,MBOAOH,CC(C)(C(CO)O)O,,C5H12O3,120.15,MBO,1,5,12,0,3,0,0,0,20,0.6,-1.2,0,3,0,0,0,0,0,0,0,0,0,0,3,0.91,4.2,0.99,0.93,0.81,0.59,6.9,8.85,7,9.42,6.2,7.11,8.22E-04,8.32,1.26E+01
2165,C148OOH,CC1(C)CC(C1CCC(=O)OC)C(=O)C(CC=O)OO,,C14H22O6,286.32,BCARY,2,14,22,0,6,0,0,0,42,0.43,-0.71,0,0,1,1,0,1,0,0,0,0,0,1,4,2.06,9.67,2.2,1.57,0.31,0.96,11.6,12.21,11.15,9.86,11.17,8.02,7.01E-08,1.07,1.82E+04
2166,MPHCOME,Cc1ccccc1C(=O)C,,C9H10O,134.18,UNKNOWN,N/A,9,10,0,1,0,0,0,20,0.11,-0.89,1,0,0,1,0,0,0,0,0,0,0,0,1,1.07,5.1,1.15,0.42,0,0.82,5.1,3.46,5.84,3.76,5.73,3.5,2.17E-02,0.93,1.93E+03
2167,C917OH,CC(C)(C1CC(=O)CCC1=O)O,,C9H14O3,170.21,BPINENE,2,9,14,0,3,0,0,0,26,0.33,-0.89,0,1,0,2,0,0,0,0,0,0,0,0,3,1.47,6.31,1.36,0.97,0.31,0.83,7.7,8.37,9.01,10.01,8.6,8.87,1.99E-05,1.38,9.14E+00
2168,TLBIPER2OH,CC12C=CC(C(C1O)OO2)O,,C7H10O4,158.15,TOLUENE,1,7,10,0,4,0,0,0,21,0.57,-0.29,0,2,0,0,0,0,0,0,0,0,0,1,3,1.09,5.74,1.07,1.35,0.46,1.15,7.2,10.62,8.38,9.36,9.09,9.8,2.03E-06,4.39,1.05E+01
2169,HYPERACET,CC(=O)COO,,C3H6O3,90.08,UNKNOWN,N/A,3,6,0,3,0,0,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1.1,3.17,0.66,0.83,0.31,0.46,4.6,7.08,5.43,5.71,5.04,5.52,5.07E-02,2.05,7.90E+00
2170,C5MO132OH,CC(C)C(=O)C(C=O)O,,C6H10O3,130.14,IPBENZ,2,6,10,0,3,0,0,0,19,0.5,-0.67,0,1,1,1,0,0,0,0,0,0,0,0,3,1.14,3.94,1.04,0.96,0.1,0.55,4.9,6.45,5.71,6.85,5.16,3.81,7.51E-02,1.01,2.76E+02
2171,MIPK,CC(C)C(=O)C,,C5H10O,86.13,UNKNOWN,N/A,5,10,0,1,0,0,0,16,0.2,-1.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0.66,2.83,0.83,0.37,0,0.22,2.9,2.07,3.15,2.48,3.6,2.77,4.11E+00,0.66,5.52E+01
2172,C930OH,CC(C)(CC(=O)C(=O)CCC=O)O,,C9H14O4,186.21,BCARY,3,9,14,0,4,0,0,0,27,0.44,-0.67,0,1,1,2,0,0,0,0,0,0,0,0,4,1.94,6.97,1.48,1.26,0.31,0.84,9,10.8,8.78,10.1,8.14,6.85,6.12E-05,1.3,3.06E+02
2173,INB1NACO3H,CC(CO)(C(C(=O)OO)ON(=O)=O)ON(=O)=O,,C5H8N2O10,256.12,UNKNOWN,N/A,5,8,2,10,0,0,0,25,2,0.4,0,1,0,0,0,0,0,0,2,0,1,0,4,2.12,7.57,1.47,1.34,0.54,0.87,10.3,12.79,11.81,11.78,8.12,4.3,1.45E-03,0.06,4.65E+03
2174,IEACO3H,CC(C1CO1)(C(=O)OO)O,,C5H8O5,148.11,C5H8,3,5,8,0,5,0,0,0,18,1,0.4,0,1,0,0,0,0,1,0,0,0,1,0,3,1.01,4.21,0.96,1.26,0.4,0.67,5.9,9.27,6.99,6.94,6.78,5.61,2.11E-03,0.87,1.55E+02
2175,DEMPHOH,CCc1cc(C)c(c(CC)c1)O,,C11H16O,164.24,DIET35TOL,1,11,16,0,1,0,0,0,28,0.09,-1.27,1,1,0,0,0,0,0,0,0,0,0,0,1,0.74,6.18,1.48,0.4,0.31,0.85,6.6,3.64,7.93,3.96,7.13,3.18,1.26E-03,0.64,7.00E+04
2176,MEMOXYPAN,COCC(=O)OON(=O)=O,,C3H5NO6,151.07,MO2EOL,2,3,5,1,6,0,0,0,15,2,0.67,0,0,0,0,0,0,1,0,0,1,0,0,2,1.3,3.93,0.9,0.7,0,0.3,4.6,5.41,6.03,5.72,4.31,1.38,1.24E+00,0.43,4.50E+03
